BUDGETUNIT,SCHOOLID,SCHOOLNAME,SCHOOLADDR,GOVERNANCE,COLLABORAT,GEOGRAPHIC,MANAGEDBYN,CPSUNIT,1314_NCES,1314_CPS U,1314_ISBE,1314_Oracl,1314_Class,1314_Schoo,1314_S_Typ,1314_Sch_1,1314_Gover,1314_Chart,1314_Grade,1314_Atten,1314_Progr,1314_Ward,1314_Commu,1314_Com_1,1314_IL Se,1314_IL Re,1314_US Co,1314_Geogr,1314_Geo_1,1314_Cook,1314_Censu,X,Y,Location 1
U23931,610011,JAMIESON,5650 N Mozart St,District,Network 2,Network 2,Network 2,4180,170993000870,4180,150162990252285,23931,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,40,2,West Ridge,7,13,5,Ravenswood,30,10,170310207012009,-87.700529420233138,41.984640776315864,"5650 N Mozart St
(41.984640776315, -87.70052942023)"
U23951,610012,JENNER,1119 N Cleveland Ave,District,Network 6,Network 6,Network 6,4200,170993000874,4200,150162990252287,23951,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,27,8,Near North Side,5,9,7,Loop,1,2,170318383001008,-87.641055559827024,41.902054841665056,"1119 N Cleveland Ave
(41.902054841665, -87.64105555982)"
U31141,610013,PILSEN,1420 W 17th St,District,Network 7,Network 7,Network 7,4210,170993000878,4210,150162990252289,31141,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,25,31,Lower West Side,1,2,4,Pilsen - Little Village,16,7,170313106001013,-87.662209433459751,41.858848876320344,"1420 W 17th St
(41.858848876320, -87.66220943345)"
U23961,610015,JUNGMAN,1746 S Miller St,District,Network 7,Network 7,Network 7,4230,170993000881,4230,150162990252292,23961,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,25,31,Lower West Side,1,2,4,Pilsen - Little Village,16,7,170313104001002,-87.6523015944138,41.85806477712002,"1746 S Miller St
(41.85806477712, -87.65230159441)"
U23971,610016,KELLOGG,9241 S Leavitt St,District,Network 10,Network 10,Network 10,4240,170993000882,4240,150162990252293,23971,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Magnet_Cluster||IB||,18,71,Auburn Gresham,18,36,1,Beverly,3,3,170317005021001,-87.677232506607481,41.725263439766785,"9241 S Leavitt St
(41.725263439766, -87.67723250660)"
U29151,610017,SAUCEDO,2850 W 24th Blvd,District,Network 7,Network 7,Network 7,4250,170993004917,4250,150162990252829,29151,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,12,30,South Lawndale,11,21,4,Pilsen - Little Village,16,7,170318407002011,-87.697315537988203,41.847940716554177,"2850 W 24th Blvd
(41.847940716554, -87.69731553798)"
U23991,610019,KERSHAW,6450 S Lowe Ave,District,Network 11,Network 11,Network 11,4270,170993000883,4270,150162990252294,23991,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,IB||,20,68,Englewood,3,6,1,Englewood,4,2,170316809001008,-87.640892025315551,41.776452810626552,"6450 S Lowe Ave
(41.776452810626, -87.64089202531)"
U24011,610021,CASALS,3501 W Potomac Ave,District,Network 5,Network 5,AUSL,4290,170993005303,4290,150162990252862,24011,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,26,23,Humboldt Park,2,4,4,Humboldt Park,21,8,170312308001015,-87.714233646918515,41.904502764962785,"3501 W Potomac Ave
(41.904502764962, -87.71423364691)"
U24021,610022,KILMER,6700 N Greenview Ave,District,Network 2,Network 2,Network 2,4300,170993000886,4300,150162990252296,24021,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,40,1,Rogers Park,7,14,9,Ravenswood,30,10,170310106001015,-87.668222466677207,42.003640462868361,"6700 N Greenview Ave
(42.003640462868, -87.66822246667)"
U24051,610024,CARDENAS,2345 S Millard Ave,District,Network 7,Network 7,Network 7,4320,170993001099,4320,150162990252783,24051,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,22,30,South Lawndale,11,21,7,Pilsen - Little Village,16,7,170313006001019,-87.716017407114123,41.848487770815986,"2345 S Millard Ave
(41.848487770816, -87.71601740711)"
U24071,610026,KINZIE,5625 S Mobile Ave,District,Network 10,Network 10,Network 10,4330,170993000890,4330,150162990252299,24071,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,23,56,Garfield Ridge,11,22,3,MDW,7,11,170315611006005,-87.779482600073806,41.789964634829545,"5625 S Mobile Ave
(41.789964634829, -87.77948260007)"
U24081,610027,KIPLING,9351 S Lowe Ave,District,Network 11,Network 11,Network 11,4350,170993000892,4350,150162990252300,24081,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Magnet_Cluster||Fine_Performing_Arts||,21,73,Washington Heights,14,27,1,Auburn Gresham,5,4,170317301002002,-87.63952072144464,41.72362690598932,"9351 S Lowe Ave
(41.723626905989, -87.63952072144)"
U24101,610029,LOZANO,1501 N Greenview Ave,District,Network 6,Network 6,Network 6,4380,170993000901,4380,150162990252303,24101,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,32,24,West Town,5,10,5,Near North,10,1,170312416001009,-87.665093272486445,41.908886128045914,"1501 N Greenview Ave
(41.908886128045, -87.66509327248)"
U31151,610030,KOZMINSKI,936 E 54th St,District,Network 9,Network 9,Network 9,4390,170993000903,4390,150162990252304,31151,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,4,41,Hyde Park,13,26,1,Hyde Park,14,3,170314105001000,-87.602481447617933,41.798001877991638,"936 E 54th St
(41.798001877991, -87.60248144761)"
U24131,610032,GREEN,1150 W 96th St,District,Network 11,Network 11,Network 11,4410,170993001209,4410,150162990252048,24131,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,21,73,Washington Heights,14,27,1,Auburn Gresham,5,4,170317304004003,-87.652500139659779,41.71929194806669,"1150 W 96th St
(41.719291948066, -87.65250013965)"
U29161,610033,LASALLE,1734 N Orleans St,District,Network 4,Network 4,Network 4,4420,170993000905,4420,150162990252306,29161,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,43,7,Lincoln Park,6,12,5,Lincoln Park,29,10,170310715004008,-87.637564863795575,41.913899532972216,"1734 N Orleans St
(41.913899532972, -87.63756486379)"
U31161,610034,LAWNDALE,3500 W Douglas Blvd,District,Network 5,Network 5,OS4,4430,170993000907,4430,150162990252309,31161,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,24,29,North Lawndale,5,9,7,North Lawndale,19,2,170312912002006,-87.71295678690619,41.862960024809823,"3500 W Douglas Blvd
(41.862960024809, -87.71295678690)"
U24151,610036,LEWIS,1431 N Leamington Ave,District,Network 3,Network 3,AUSL,4450,170993000911,4450,150162990252311,24151,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,37,25,Austin,4,8,7,Austin,25,1,170312508001018,-87.754549950479642,41.906826050556731,"1431 N Leamington Ave
(41.906826050556, -87.75454995047)"
U24171,610037,LIBBY,5300 S Loomis Blvd,District,Network 11,Network 11,Network 11,4470,170993000916,4470,150162990252313,24171,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,16,61,New City,3,6,7,Englewood,4,11,170316119002021,-87.659932817390668,41.797684832589383,"5300 S Loomis Blvd
(41.797684832589, -87.65993281739)"
U24191,610038,LINCOLN,615 W Kemper Pl,District,Network 4,Network 4,Network 4,4480,170993000918,4480,150162990252314,24191,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Selective_Enrollment||International_Gifted||,43,7,Lincoln Park,6,11,5,Lincoln Park,29,10,170310712001008,-87.644497303641344,41.924524816547098,"615 W Kemper Pl
(41.924524816547, -87.64449730364)"
U24201,610039,VON LINNE,3221 N Sacramento Ave,District,Network 4,Network 4,Network 4,4490,170993000919,4490,150162990252315,24201,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,33,21,Avondale,20,40,4,Logan,9,8,170312101002018,-87.702634674446855,41.9400092800187,"3221 N Sacramento Ave
(41.940009280018, -87.70263467444)"
U24221,610040,LLOYD,2103 N Lamon Ave,District,Network 3,Network 3,Network 3,4500,170993000926,4500,150162990252316,24221,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,31,19,Belmont Cragin,2,3,4,Belmont Cragin,26,8,170311911001014,-87.748515013306815,41.918814096303244,"2103 N Lamon Ave
(41.918814096303, -87.74851501330)"
U24231,610041,"LOCKE, J",2828 N Oak Park Ave,District,Network 3,Network 3,Network 3,4510,170993000927,4510,150162990252317,24231,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,IB||,36,18,Montclare,2,3,4,Belmont Cragin,26,9,170311801002009,-87.795604070700918,41.931762354491603,"2828 N Oak Park Ave
(41.931762354491, -87.79560407070)"
U24241,610043,LOVETT,6333 W Bloomingdale Ave,District,Network 3,Network 3,Network 3,4530,170993000929,4530,150162990252319,24241,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,29,25,Austin,39,78,7,Belmont Cragin,26,1,170312504005011,-87.783918847222964,41.912718027204605,"6333 W Bloomingdale Ave
(41.912718027204, -87.78391884722)"
U24251,610044,LOWELL,3320 W Hirsch St,District,Network 5,Network 5,Network 5,4540,170993000930,4540,150162990252321,24251,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,26,23,Humboldt Park,2,4,4,Humboldt Park,21,8,170312309001023,-87.710217002199471,41.906519591635899,"3320 W Hirsch St
(41.906519591635, -87.71021700219)"
U24281,610046,LYON,2941 N McVicker Ave,District,Network 3,Network 3,Network 3,4560,170993000934,4560,150162990252323,24281,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,NA||,29,19,Belmont Cragin,2,3,4,Belmont Cragin,26,8,170311904012000,-87.777174198549687,41.93419216300223,"2941 N McVicker Ave
(41.934192163002, -87.77717419854)"
U24301,610047,MADISON,7433 S Dorchester Ave,District,Network 12,Network 12,Network 12,4570,170993000935,4570,150162990252324,24301,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,5,43,South Shore,3,5,1,South Shore,11,3,170314304004005,-87.590712395488424,41.759548060524246,"7433 S Dorchester Ave
(41.759548060524, -87.59071239548)"
U24311,610048,MANIERRE,1420 N Hudson Ave,District,Network 4,Network 4,OS4,4580,170993000936,4580,150162990252326,24311,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,27,8,Near North Side,5,9,7,Lincoln Park,29,2,170310804001009,-87.639826513086788,41.908246882722075,"1420 N Hudson Ave
(41.908246882722, -87.63982651308)"
U41121,610051,NORTHWEST,5252 W Palmer St,District,Network 3,Network 3,Network 3,4600,170993003567,4600,150162990252915,41121,CPS,Regular,"District, non-alternative",MS,District,,ES,6th-8th,NA||,37,19,Belmont Cragin,2,3,4,Belmont Cragin,26,8,170311912001013,-87.758154256460401,41.920154770358494,"5252 W Palmer St
(41.920154770358, -87.75815425646)"
U24331,610052,MANN,8050 S Chappel Ave,District,Network 12,Network 12,OS4,4610,170993000937,4610,150162990252328,24331,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,8,46,South Chicago,17,33,2,South Shore,11,4,170314605006006,-87.574815637579221,41.74827412795765,"8050 S Chappel Ave
(41.748274127957, -87.57481563757)"
U24341,610053,MARQUETTE,6550 S Richmond St,District,Network 10,Network 10,AUSL,4620,170993000940,4620,150162990252330,24341,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,IB||,15,66,Chicago Lawn,1,1,7,Chicago Lawn,8,11,170316608004004,-87.697029799651062,41.773881080267024,"6550 S Richmond St
(41.773881080267, -87.69702979965)"
U24361,610054,MARSH,9822 S Exchange Ave,District,Network 13,Network 13,Network 13,4630,170993000939,4630,150162990252331,24361,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,IB||,10,51,South Deering,13,25,2,Far East Side,2,4,170315101002051,-87.552483426327342,41.716588014883449,"9822 S Exchange Ave
(41.716588014883, -87.55248342632)"
U24371,610055,FARADAY,3250 W Monroe St,District,Network 5,Network 5,Network 5,4640,170993000762,4640,150162990252195,24371,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,28,27,East Garfield Park,5,10,7,Garfield - West Humboldt,20,1,170312713001000,-87.708092019865575,41.879713591558648,"3250 W Monroe St
(41.879713591558, -87.70809201986)"
U24381,610056,MASON,4217 W 18th St,District,Network 5,Network 5,Network 5,4650,170993000944,4650,150162990252334,24381,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,24,29,North Lawndale,5,9,7,North Lawndale,19,2,170312925004016,-87.731672433311729,41.856863700745919,"4217 W 18th St
(41.856863700745, -87.73167243331)"
U26701,610057,FAIRFIELD,6201 S Fairfield Ave,District,Network 10,Network 10,Network 10,4660,170993002631,4660,150162990252913,26701,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,15,66,Chicago Lawn,3,6,7,Chicago Lawn,8,11,170318350003014,-87.692115064082827,41.780903898597295,"6201 S Fairfield Ave
(41.780903898597, -87.69211506408)"
U24401,610059,MAYER,2250 N Clifton Ave,District,Network 4,Network 4,Network 4,4680,170993000950,4680,150162990252337,24401,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,IB||,32,7,Lincoln Park,6,11,5,Lincoln Park,29,10,170310710001013,-87.657287438661626,41.923203522528873,"2250 N Clifton Ave
(41.923203522528, -87.65728743866)"
U29171,610060,"JACKSON, A",1340 W Harrison St,District,Network 6,Network 6,Network 6,4690,170993000868,4690,150162990252283,29171,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Magnet||World_Language||,2,28,Near West Side,5,9,7,Near West,23,2,170318329002009,-87.660984672008354,41.874299638831218,"1340 W Harrison St
(41.874299638831, -87.66098467200)"
U24421,610062,MCCLELLAN,3527 S Wallace St,District,Network 6,Network 6,Network 6,4710,170993000952,4710,150162990252339,24421,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,11,60,Bridgeport,3,6,3,Bridgeport - Chinatown,18,11,170318399001000,-87.641102574917511,41.829992863263911,"3527 S Wallace St
(41.829992863263, -87.64110257491)"
U24431,610063,MCCORMICK,2712 S Sawyer Ave,District,Network 7,Network 7,Network 7,4720,170993000955,4720,150162990252341,24431,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,22,30,South Lawndale,11,21,4,Pilsen - Little Village,16,7,170318408001016,-87.706300092437175,41.842267165693769,"2712 S Sawyer Ave
(41.842267165693, -87.70630009243)"
U24441,610065,TILL,6543 S Champlain Ave,District,Network 9,Network 9,Network 9,4740,170993001165,4740,150162990252766,24441,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,20,42,Woodlawn,3,5,1,Woodlawn,13,3,170314207002004,-87.60935721070922,41.775423844106022,"6543 S Champlain Ave
(41.775423844106, -87.60935721070)"
U29181,610066,MCDADE,8801 S Indiana Ave,District,Network 12,Network 12,Network 12,4750,170993000957,4750,150162990252345,29181,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Selective_Enrollment||Classical||,6,44,Chatham,17,34,1,Chatham,12,4,170314406001003,-87.619214443335991,41.734549908472886,"8801 S Indiana Ave
(41.734549908472, -87.61921444333)"
U24451,610067,MCKAY,6901 S Fairfield Ave,District,Network 10,Network 10,Network 10,4760,170993000958,4760,150162990252346,24451,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,18,66,Chicago Lawn,16,32,1,Chicago Lawn,8,2,170316609003022,-87.691786502382001,41.768142764957013,"6901 S Fairfield Ave
(41.768142764957, -87.69178650238)"
U24461,610068,HANSON PARK,5411 W Fullerton Ave,District,Network 3,Network 3,Network 3,4770,170993000720,4770,150162990252726,24461,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Early_Childhood_Program||,37,19,Belmont Cragin,2,3,4,Belmont Cragin,26,8,170311912002000,-87.761514771039074,41.923955258313832,"5411 W Fullerton Ave
(41.923955258313, -87.76151477103)"
U24471,610070,MCPHERSON,4728 N Wolcott Ave,District,Network 2,Network 2,Network 2,4800,170993000959,4800,150162990252349,24471,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,IB||,47,4,Lincoln Square,7,13,5,Ravenswood,30,12,170318308001002,-87.676288252704865,41.967846868166745,"4728 N Wolcott Ave
(41.967846868166, -87.67628825270)"
U24511,610073,MITCHELL,2233 W Ohio St,District,Network 5,Network 5,Network 5,4840,170993000965,4840,150162990252353,24511,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,26,24,West Town,5,10,5,Near North,10,8,170312429002001,-87.683184586462119,41.892082166407469,"2233 W Ohio St
(41.892082166407, -87.68318458646)"
U24531,610074,MONROE,3651 W Schubert Ave,District,Network 4,Network 4,Network 4,4850,170993000968,4850,150162990252355,24531,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,35,22,Logan Square,20,39,4,Logan,9,8,170312207024006,-87.719223751200403,41.9299886036044,"3651 W Schubert Ave
(41.929988603604, -87.71922375120)"
U30041,610075,MONTEFIORE,1310 S Ashland Ave,District,Network 6,Network 6,Network 6,4860,170993001088,4860,150162990253116,30041,CPS,Regular,"District, Special Ed.",ES,District,,ES,PK-8th,NA||,2,28,Near West Side,5,9,7,Near West,23,2,170318429004065,-87.6664442313824,41.864724154360005,"1310 S Ashland Ave
(41.86472415436, -87.66644423138)"
U24551,610076,MOOS,1711 N California Ave,District,Network 5,Network 5,Network 5,4870,170993000969,4870,150162990252356,24551,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,1,24,West Town,2,4,4,Humboldt Park,21,8,170312407001004,-87.696941386638002,41.912505483735536,"1711 N California Ave
(41.912505483735, -87.69694138663)"
U24571,610077,MORRILL,6011 S Rockwell St,District,Network 10,Network 10,Network 10,4880,170993000970,4880,150162990252357,24571,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,15,66,Chicago Lawn,3,6,7,Chicago Lawn,8,11,170318350005013,-87.688549255592378,41.784313281993768,"6011 S Rockwell St
(41.784313281993, -87.68854925559)"
U29191,610078,INTER-AMERICAN,851 W Waveland Ave,District,Network 4,Network 4,Network 4,4890,170993000971,4890,150162990252358,29191,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,Magnet||Dual_Immersion||Early_Childhood_Program||,44,6,Lake View,6,12,5,Lincoln Park,29,10,170310610001009,-87.651573341751458,41.94900330071966,"851 W Waveland Ave
(41.949003300719, -87.65157334175)"
U29201,610081,SHERIDAN,533 W 27th St,District,Network 6,Network 6,Network 6,4920,170993001083,4920,150162990252451,29201,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Magnet||Math_Science||Specific_Aptitude||,11,60,Bridgeport,1,2,3,Bridgeport - Chinatown,18,11,170318401001009,-87.641339805331626,41.844400159258996,"533 W 27th St
(41.844400159259, -87.64133980533)"
U24591,610082,MOUNT GREENWOOD,10841 S Homan Ave,District,Network 10,Network 10,Network 10,4940,170993000974,4940,150162990252361,24591,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,19,74,Mount Greenwood,18,35,3,Beverly,3,11,170317403002009,-87.705809945295343,41.695733862490272,"10841 S Homan Ave
(41.695733862490, -87.70580994529)"
U30051,610083,BEARD,6445 W Strong St,District,Network 1,Network 1,Network 1,4950,170993004965,4950,150162990253760,30051,CPS,Regular,"District, Special Ed.",ES,District,,ES,PK-8th,NA||,41,10,Norwood Park,10,19,5,Sauganash,28,9,170311007001015,-87.789630331286531,41.970124882818325,"6445 W Strong St
(41.970124882818, -87.78963033128)"
U29211,610084,KELLER,3020 W 108th St,District,Network 10,Network 10,Network 10,4960,170993000860,4960,150162990252739,29211,CPS,Regular,"District, non-alternative",ES,District,,ES,K-8th,Selective_Enrollment||Regional_Gifted_Center||,19,74,Mount Greenwood,18,35,3,Beverly,3,11,170317401003002,-87.697278336499792,41.69717033458096,"3020 W 108th St
(41.697170334581, -87.69727833649)"
U24601,610086,MOUNT VERNON,10540 S Morgan St,District,Network 13,Network 13,Network 13,4980,170993000978,4980,150162990252362,24601,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,34,73,Washington Heights,14,27,1,Far South Side,22,5,170317307002032,-87.647652486404894,41.701952117454354,"10540 S Morgan St
(41.701952117454, -87.64765248640)"
U30071,610087,BLAIR,6751 W 63rd Pl,District,Network 10,Network 10,Network 10,4990,170993004966,4990,150162990253761,30071,CPS,Regular,"District, Special Ed.",ES,District,,ES,PK-8th,NA||,23,64,Clearing,11,22,3,MDW,7,11,170316405001010,-87.790604424930919,41.77655627015664,"6751 W 63rd Pl
(41.776556270156, -87.79060442493)"
U24611,610088,MOZART,2200 N Hamlin Ave,District,Network 4,Network 4,Network 4,5000,170993000979,5000,150162990252363,24611,CPS,Regular,"District, non-alternative",ES,District,,ES,PK-8th,NA||,35,22,Logan Square,2,4,4,Logan,9,8,170312209021018,-87.721888144171217,41.920909649611367,"2200 N Hamlin Ave
(41.920909649611, -87.72188814417)"
